Stock,Total_Test_Days,HAR_QLIKE_Global,LSHAR_QLIKE_Global,ResidLS_QLIKE_Global,WeeklyLS_QLIKE_Global,LSHAR_Active_Days,LSHAR_Active_Pct,HAR_on_LSHAR_Days,LSHAR_on_Active_Days,LSHAR_Improvement_Pct,ResidLS_Active_Days,ResidLS_Active_Pct,HAR_on_ResidLS_Days,ResidLS_on_Active_Days,ResidLS_Improvement_Pct,WeeklyLS_Active_Days,WeeklyLS_Active_Pct,HAR_on_WeeklyLS_Days,WeeklyLS_on_Active_Days,WeeklyLS_Improvement_Pct
Cleaned_INDIA VIX_5minute.csv,804,-4.768142748936828,-4.776113873579771,-4.765977273095459,-4.768174302664559,76,9.45273631840796,-4.053425623746498,-4.137751731811316,2.0803664823847794,138,17.16417910447761,-5.044654423905274,-5.03203817335121,-0.2500914729516272,1,0.12437810945273632,-4.4274593036609495,-4.452828500756459,0.5729967314331291
Cleaned_TVSMOTOR_5minute.csv,803,-7.130212832724643,-7.1299633067177695,-7.130212832724643,-7.130212832724643,7,0.8717310087173101,-7.221445624985704,-7.192821427340219,-0.3963776663559962,0,0.0,,,0.0,0,0.0,,,0.0
Cleaned_TATACONSUM_5minute.csv,803,-7.512285162690271,-7.5112281482188035,-7.512124385512708,-7.505633684793277,23,2.86425902864259,-7.84348445396179,-7.806580861762235,-0.4704999725079411,3,0.37359900373599003,-7.990710876818849,-7.9476761856243465,-0.538558982522397,161,20.049813200498132,-7.628005209620818,-7.594830447190462,-0.4349074432790678
Cleaned_GRASIM_5minute.csv,803,-7.484238409214421,-7.484238409214421,-7.481603557777912,-7.483460192549634,0,0.0,,,0.0,16,1.9925280199252802,-6.704877993606812,-6.572641387137008,-1.9722447835127392,119,14.819427148194272,-7.346588759218266,-7.341337431639912,-0.07147980852698357
Cleaned_NESTLEIND_5minute.csv,803,-7.749709224126211,-7.749709224126211,-7.749709224126211,-7.748951219825658,0,0.0,,,0.0,0,0.0,,,0.0,48,5.9775840597758405,-8.228404366093608,-8.21572358581559,-0.1541098336181783
Cleaned_DRREDDY_5minute.csv,803,-7.461728917465057,-7.461651774123141,-7.460933332955918,-7.462482322778162,5,0.62266500622665,-6.904598995954697,-6.892209775243058,-0.17943432658288336,17,2.1170610211706102,-7.939943600896957,-7.902363932612307,-0.473298932254438,164,20.423412204234122,-7.43546246581988,-7.4391513954931865,0.0496126460225488
Cleaned_LODHA_5minute.csv,803,-6.202301565333288,-6.202301565333288,-6.202301565333288,-6.202700077739778,0,0.0,,,0.0,0,0.0,,,0.0,4,0.49813200498132004,-3.824748601153092,-3.9047499667558814,2.091676445836744
Cleaned_DMART_5minute.csv,803,-7.203229774720378,-7.202528503601738,-7.2027507309111005,-7.203229774720378,9,1.1207970112079702,-7.567483887685059,-7.504914920099781,-0.8268133571727834,9,1.1207970112079702,-7.41539904169953,-7.3726576884940345,-0.5763864218924027,0,0.0,,,0.0
Cleaned_TITAN_5minute.csv,804,-7.561625061549786,-7.560730085901833,-7.561625061549786,-7.5611402207102145,28,3.482587064676617,-7.7847430174213335,-7.759044430958669,-0.33011476942981977,0,0.0,,,0.0,9,1.1194029850746268,-7.181407275994628,-7.138094827659448,-0.6031192309613312
Cleaned_UNIONBANK_5minute.csv,804,-6.615705575681926,-6.612771399738838,-6.616759319625618,-6.610940146670273,116,14.427860696517413,-6.8856727039958425,-6.865335829355818,-0.295350585400654,32,3.9800995024875623,-6.503830028735096,-6.530305345320333,0.4070727012893016,290,36.069651741293534,-6.7355124695969195,-6.722300728474956,-0.19615049606989335
